number,match_id,match_date,stage_label,home_team_name,away_team_name,match,predicted_score,predicted_sign,predicted_result,probability_home,probability_draw,probability_away,actual_score_90,actual_sign,actual_result_90,sign_correct,exact_score,after_90_note,evaluation
87,WC-2026-087,2026-07-03,Ronda de 32,Colombia,Ghana,Colombia — Ghana,0–0,1,Gana Colombia,0.3829897223143074,0.3556934778662083,0.2613167998194842,1–0,1,Gana Colombia,True,False,,Signo acertado
88,WC-2026-088,2026-07-03,Ronda de 32,Australia,Egypt,Australia — Egypt,0–0,2,Gana Egypt,0.2640057275924037,0.3480004212326867,0.3879938511749098,1–1,X,Empate,False,False,Hubo penaltis después; no cuentan para el signo,Signo fallado
89,WC-2026-089,2026-07-04,Octavos,France,Paraguay,France — Paraguay,0–0,X,Empate,0.3982898407475133,0.402317090365209,0.1993930688872777,1–0,1,Gana France,False,False,,Signo fallado
90,WC-2026-090,2026-07-04,Octavos,Canada,Morocco,Canada — Morocco,0–0,X,Empate,0.2597226644224647,0.3720213111689139,0.3682560244086212,0–3,2,Gana Morocco,False,False,,Signo fallado
91,WC-2026-091,2026-07-05,Octavos,Brazil,Norway,Brazil — Norway,1–0,1,Gana Brazil,0.479745437954767,0.32239245143412,0.1978621106111129,1–2,2,Gana Norway,False,False,,Signo fallado
92,WC-2026-092,2026-07-05,Octavos,Mexico,England,Mexico — England,0–0,2,Gana England,0.2056969895039842,0.3798912193912988,0.414411791104717,2–3,2,Gana England,True,False,,Signo acertado
93,WC-2026-093,2026-07-06,Octavos,Spain,Portugal,Spain — Portugal,0–0,X,Empate,0.3057126901622334,0.374988674941338,0.3192986348964288,1–0,1,Gana Spain,False,False,,Signo fallado
94,WC-2026-094,2026-07-06,Octavos,United States,Belgium,United States — Belgium,0–0,2,Gana Belgium,0.2177554397906106,0.3739123369424607,0.4083322232669283,1–4,2,Gana Belgium,True,False,,Signo acertado
95,WC-2026-095,2026-07-07,Octavos,Argentina,Egypt,Argentina — Egypt,1–0,1,Gana Argentina,0.5129743538515696,0.325828764767656,0.1611968813807744,3–2,1,Gana Argentina,True,False,,Signo acertado
96,WC-2026-096,2026-07-07,Octavos,Switzerland,Colombia,Switzerland — Colombia,0–0,X,Empate,0.309594463009241,0.3753670112305778,0.3150385257601812,0–0,X,Empate,True,True,Hubo penaltis después; no cuentan para el signo,Signo y marcador exacto
97,WC-2026-097,2026-07-09,Cuartos,France,Morocco,France — Morocco,0–0,1,Gana France,0.3888899842680361,0.3837178828151314,0.2273921329168325,2–0,1,Gana France,True,False,,Signo acertado
98,WC-2026-098,2026-07-10,Cuartos,Belgium,Spain,Belgium — Spain,0–0,2,Gana Spain,0.2202328072589221,0.3585631321450498,0.4212040605960282,1–2,2,Gana Spain,True,False,,Signo acertado
99,WC-2026-099,2026-07-11,Cuartos,England,Norway,England — Norway,0–0,X,Empate,0.3557300527625703,0.3573166861685019,0.2869532610689279,1–1,X,Empate,True,False,Hubo prórroga después; no cambia el signo a 90′,Signo acertado
100,WC-2026-100,2026-07-11,Cuartos,Argentina,Switzerland,Argentina — Switzerland,0–0,1,Gana Argentina,0.3748384564152429,0.3569971192356719,0.2681644243490853,1–1,X,Empate,False,False,Hubo prórroga después; no cambia el signo a 90′,Signo fallado
101,WC-2026-101,2026-07-14,Semifinal,Spain,France,Spain — France,0–1,2,Gana France,0.1968450085363602,0.3340847254240432,0.4690702660395967,2–0,1,Gana Spain,False,False,,Signo fallado
102,WC-2026-102,2026-07-15,Semifinal,Argentina,England,Argentina — England,0–0,X,Empate,0.2715283252538359,0.3713720102275478,0.3570996645186161,2–1,1,Gana Argentina,False,False,,Signo fallado
103,WC-2026-103,2026-07-18,Tercer puesto,England,France,England — France,0–1,2,Gana France,0.1962425057371324,0.3290631916562971,0.4746943026065704,6–4,1,Gana England,False,False,,Signo fallado
104,WC-2026-104,2026-07-19,Final,Argentina,Spain,Argentina — Spain,0–0,2,Gana Spain,0.2714258433649821,0.3476168945932864,0.3809572620417315,0–0,X,Empate,False,True,Hubo prórroga después; no cambia el signo a 90′,Marcador exacto; signo fallado
